Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
improve	verb	/ɪmˈpruːv/	1. cải thiện 2. nâng cao	enhance, upgrade	worsen, deteriorate	improvement (n): sự cải thiện; improved (adj): được cải thiện; improving (adj): đang cải thiện	Improving customer service will increase sales.	improve quality, improve performance, improve efficiency, continue to improve
river	noun	/ˈrɪv.ər/	1. con sông	stream, waterway	desert, dry land	riverbank (n): bờ sông; riverbed (n): lòng sông; riverside (n/adj): ven sông; upriver/downriver (adv/adj): ngược/dọc dòng	The hotel offers a view of the river.	cross a river, river cruise, along the river, river transport
stream	noun/verb	/striːm/	1. dòng chảy, luồng (dữ liệu, người) 2. phát trực tuyến (v) 3. chảy, tuôn ra	flow, current, broadcast	trickle, halt	streaming (n): sự phát trực tuyến stream (v): phát trực tuyến streamer (n): người phát trực tuyến	The IT department will stream the conference live.	data stream, live stream, stream content, video stream
culture	noun	/ˈkʌl.tʃər/	1. văn hóa (quốc gia, doanh nghiệp) 2. môi trường nuôi cấy (khoa học)	civilization, customs, ethos	barbarism, ignorance	cultural (adj): thuộc văn hóa culturally (adv): về mặt văn hóa cultureless (adj): thiếu văn hóa	A strong safety culture reduces workplace accidents.	corporate culture, company culture, culture change, organizational culture
support	verb/noun	/səˈpɔːrt/	1. hỗ trợ, giúp đỡ 2. ủng hộ 3. cung cấp tài chính	assist, back, aid	oppose, hinder	support (n): sự hỗ trợ supporter (n): người ủng hộ supportive (adj): mang tính hỗ trợ supportively (adv): một cách hỗ trợ	The manager promised to support the sales team.	provide support, technical support, support a proposal, financial support
plan	noun/verb	/plæn/	1. kế hoạch 2. lập kế hoạch 3. dự định	scheme, program, blueprint	improvisation, chaos	planning (n): việc lập kế hoạch planner (n): người lập kế hoạch planned (adj): có kế hoạch unplanned (adj): không có kế hoạch	We plan to open a new branch in July.	make a plan, strategic plan, plan ahead, plan for
huge	adjective	/hjuːdʒ/	1. rất lớn, khổng lồ 2. cực kỳ quan trọng	enormous, massive, vast	tiny, small, minute	hugely (adv): cực kỳ hugeness (n): sự to lớn	The merger created a huge global network.	huge success, huge amount, huge market, huge expense
success	noun	/səkˈses/	1. sự thành công 2. người hoặc điều thành công	achievement, accomplishment	failure, defeat	succeed (v): thành công; successful (adj): thành công; unsuccessfully (adv): không thành công; successor (n): người kế nhiệm	The marketing campaign was a great success. - She finally tasted success after years of hard work.	achieve success; guarantee success; long-term success; measure of success
honor	noun	/ˈɑː.nər/	1. danh dự 2. sự tôn kính 3. phần thưởng danh dự	respect, recognition	dishonor, disgrace	honor (v): tôn vinh; honorable (adj): đáng kính; dishonor (n,v): làm nhục; honorary (adj): danh dự	It is an honor to meet the company founder. - The employee accepted the honor with gratitude.	in honor of; feel honored to; badge of honor; receive an honor
follow	verb	/ˈfɑː.loʊ/	1. theo sau 2. tuân theo 3. theo dõi	pursue, obey	lead, disregard	follower (n): người theo dõi; following (n,adj): tiếp theo; follow-up (n,adj): tiếp nối	Please follow the safety instructions carefully. - Over 10,000 users follow our page.	follow instructions; follow up; follow a procedure; follow someone on social media
social	adj	/ˈsoʊ.ʃəl/	1. thuộc xã hội 2. mang tính giao tiếp	communal, societal	antisocial, solitary	socialize (v): giao lưu; socially (adv): về mặt xã hội; socializing (n): sự giao tiếp; socialism (n): chủ nghĩa xã hội	The company hosts social events every quarter. - Good social skills are important at work.	social event; social skills; social interaction; social responsibility
social media	noun	/ˌsoʊ.ʃəl ˈmiː.di.ə/	1. mạng xã hội 2. nội dung đăng tải trên mạng xã hội	networking sites, online platforms	traditional media, print media	social (adj): xã hội; media (n): phương tiện truyền thông; social networking (n): mạng xã hội	Customers leave feedback on social media. - The firm launched a social media campaign.	social media platform; social media campaign; social media account; on social media
contribute	verb	/kənˈtrɪb.juːt/	1. đóng góp (tiền, thời gian) 2. góp phần vào điều gì đó	donate, supply, add	withhold, take	contribution (n): sự đóng góp; contributor (n): người đóng góp; contributory (adj): góp phần	Each team member contributes ideas during the meeting.	contribute to; contribute money; actively contribute; contribute significantly
keep	verb	/kiːp/	1. giữ, bảo quản 2. tiếp tục làm 3. lưu giữ hồ sơ	hold, retain, maintain	release, lose	keeper (n): người giữ; keeping (n): sự giữ; kept (adj): được giữ	Please keep the receipt for future reference.	keep track; keep records; keep in mind; keep doing
premier	adjective	/ˈpriː.mi.ər/	1. hàng đầu, quan trọng nhất	leading, top, foremost	inferior, secondary	premiere (n): buổi ra mắt; premier (n): thủ tướng	Our hotel is the premier choice for business travelers.	premier brand; premier destination; premier service; premier event
centre	noun	/ˈsen.tər/	1. trung tâm 2. tòa nhà/khu phức hợp	hub, core, middle	edge, periphery	central (adj): trung tâm; centrally (adv): một cách trung tâm; centralize (v): tập trung	The convention will be held at the city convention centre.	shopping centre; conference centre; city centre; centre of attention
realize	verb	/ˈriː.ə.laɪz/	1. nhận ra 2. thực hiện được 3. bán được để thu tiền	recognize, understand, achieve	ignore, overlook, miss	realization (n): sự nhận ra; realizable (adj): có thể thực hiện; unrealized (adj): chưa thực hiện	Management realized the need for additional staff.	realize that; realize a goal; suddenly realize; fail to realize
multiple	adjective	/ˈmʌl.tɪ.pəl/	having or involving many parts, people, or things	numerous, several, many	single, individual	multiply (v): nhân lên  multiplication (n): phép nhân  multiplicity (n): tính đa dạng	The report contains multiple errors.	multiple options, multiple locations, multiple times
delay	noun	/dɪˈleɪ/	a period of time by which something is late or postponed	postponement, holdup, deferment	promptness, advance, punctuality	delay (v): trì hoãn  delayed (adj): bị chậm  delaying (n): sự trì hoãn	There was a slight delay in shipping.	cause a delay, experience a delay, without delay, flight delay
easy	adjective	/ˈiː.zi/	not difficult to do or understand	simple, effortless, straightforward	difficult, hard, complicated	ease (n): sự dễ dàng  easily (adv): dễ dàng  easier (adj): dễ hơn  easing (v): làm dịu	The software is easy to use.	easy to use, easy access, easy process, easy task
task	noun	/tɑːsk/	a piece of work that needs to be done	duty, assignment, job	rest, leisure, break	task (v): giao nhiệm vụ  tasking (n): sự giao việc  multitask (v): làm nhiều việc  taskmaster (n): người quản lí nghiêm	The manager assigned a new task to the team.	complete a task, assign a task, task list, challenging task
auction	noun	/ˈɔːk.ʃən/	a public sale in which goods are sold to the highest bidder	sale, bidding, sell-off	purchase, buyback, acquisition	auction (v): đấu giá  auctioneer (n): người điều khiển đấu giá  auctioning (n): việc bán đấu giá  auctioned (adj): được bán đấu giá	The company sold its old equipment at auction.	hold an auction, online auction, auction house, auction price
program	noun	/ˈproʊ.ɡræm/	1. chương trình (máy tính, đào tạo) 2. kế hoạch, lịch trình sự kiện 3. chương trình phát sóng	plan, schedule, application	improvisation, disorder	program (v): lập trình programmer (n): lập trình viên programming (n): lập trình programmable (adj): có thể lập trình	The training program starts next Monday.	launch a program; training program; computer program; develop a program
come up	phrasal verb	/kʌm ʌp/	1. nảy sinh, xuất hiện 2. đến gần (sự kiện, thời hạn)	arise, occur	subside, disappear	coming up (adj): sắp tới upcoming (adj): sắp diễn ra	A problem came up during the meeting.	come up during/in; something has come up; issues come up
look forward	phrasal verb	/lʊk ˈfɔːr.wɚd/	1. mong đợi, trông chờ với thái độ háo hức	anticipate, await eagerly	dread, fear	forward-looking (adj): có tầm nhìn tương lai	We look forward to hearing from you.	look forward to + V-ing; look forward to + noun; really look forward; be looking forward
as well	adverbial phrase	/əz wel/	1. cũng, thêm vào	also, too	only, solely	well (adv/adj): tốt, giỏi	Please bring your ID as well.	as well as; me/us/him as well; include as well; can … as well
sincerely	adverb	/sɪnˈsɪr.li/	1. một cách chân thành 2. trang trọng dùng kết thư	genuinely, honestly	insincerely, superficially	sincere (adj): chân thành sincerity (n): sự chân thành insincere (adj): không chân thành	We sincerely apologize for the delay.	yours sincerely; sincerely hope; sincerely apologize; sincerely thank
amaze	verb	/əˈmeɪz/	1. làm kinh ngạc 2. gây ấn tượng mạnh	astonish, stun	bore, disappoint	amazing (adj): đáng kinh ngạc amazed (adj): kinh ngạc amazement (n): sự kinh ngạc	The sales results amazed the board.	amaze customers, be amazed at/by, absolutely amazing
proposal	noun	/prəˈpəʊ.zəl/	1. đề xuất 2. bản đề nghị kinh doanh	suggestion, offer	rejection, refusal	propose (v): đề xuất proposed (adj): được đề xuất proposable (adj): có thể đề xuất	The manager approved the budget proposal.	submit a proposal, draft a proposal, accept a proposal, business proposal
innovation	noun	/ˌɪn.əˈveɪ.ʃən/	1. sự đổi mới 2. ý tưởng sáng tạo	modernization, novelty	tradition, stagnation	innovate (v): đổi mới innovative (adj): có tính đổi mới innovator (n): người đổi mới	Continuous innovation keeps the company competitive.	technological innovation, drive innovation, product innovation, encourage innovation
criticism	noun	/ˈkrɪt.ɪ.sɪ.zəm/	1. lời phê bình 2. sự chỉ trích	review, disapproval	praise, approval	critic (n): nhà phê bình critical (adj): phê phán criticize (v): chỉ trích critically (adv): một cách phê bình	The report received constructive criticism from the committee.	constructive criticism, face criticism, respond to criticism, harsh criticism
attention	noun	/əˈten.ʃən/	1. sự chú ý 2. sự quan tâm	notice, focus	neglect, disregard	attentive (adj): chú ý attend (v): tham dự attentively (adv): chăm chú	Please pay attention to the safety instructions.	pay attention to, attract attention, draw attention, attention span
surprise	noun/verb	/səˈpraɪz/	1. (n) sự ngạc nhiên 2. (v) làm ngạc nhiên 3. (n) điều bất ngờ	astonishment, shock, amaze	expectation, predictability	surprised (adj): ngạc nhiên; surprising (adj): gây ngạc nhiên; unsurprising (adj): không bất ngờ; surprisingly (adv): thật ngạc nhiên	The low price came as a surprise to customers.	a pleasant surprise, come as a surprise, to one's surprise, surprise visit
well	adverb/adjective	/wel/	1. (adv) tốt, giỏi 2. (adj) khỏe mạnh 3. (adj) phù hợp, đúng cách	fine, healthy, good	ill, badly, sick	unwell (adj): không khỏe; wellness (n): sức khỏe; well-being (n): phúc lợi	She did well on the sales test.	do well, feel well, well done, well prepared
flexible	adjective	/ˈflek.sə.bəl/	1. linh hoạt 2. dễ thay đổi, điều chỉnh	adaptable, adjustable, versatile	rigid, inflexible, fixed	flexibility (n): tính linh hoạt; flexibly (adv): một cách linh hoạt; inflexible (adj): cứng nhắc	The company offers flexible working hours.	flexible hours, flexible schedule, flexible policy, highly flexible
stop	verb/noun	/stɒp/	1. (v) dừng lại 2. (n) điểm dừng 3. (v) ngăn chặn	halt, cease, end	continue, proceed, start	nonstop (adj/adv): liên tục; stoppage (n): sự đình chỉ; stopper (n): nút chặn; unstoppable (adj): không thể dừng	Please stop the machine before cleaning.	stop by, stop at, stop doing something, stop for
tourism	noun	/ˈtʊə.rɪ.zəm/	1. ngành du lịch 2. hoạt động du lịch	travel, sightseeing, holidaymaking	residency, immobility	tourist (n): khách du lịch; tour (n/v): chuyến du lịch; touristic (adj): thuộc du lịch; tour operator (n): công ty lữ hành	Tourism accounts for 10% of local income.	tourism industry, boost tourism, mass tourism, sustainable tourism
destination	noun	/ˌdes.tɪˈneɪ.ʃən/	1. điểm đến (của chuyến đi, vận chuyển)	endpoint, goal	origin, departure point	destined (adj): được định trước destinational (adj): thuộc về điểm đến	The flight arrived on time at its final destination.	final destination; popular destination; reach/arrive at destination
reason	noun	/ˈriː.zən/	1. lý do, nguyên nhân	cause, motive	result, consequence	reasonable (adj): hợp lý reasonably (adv): một cách hợp lý reasoning (n): lập luận	The main reason for the refund is a damaged item.	reason for; give/provide a reason; main/primary reason; for this/that reason
service	noun	/ˈsɜː.vɪs/	1. dịch vụ 2. sự phục vụ 3. việc bảo trì	assistance, support	neglect, malfunction	serve (v): phục vụ server (n): máy chủ servicing (n): bảo dưỡng serviceable (adj): có thể dùng	The company provides excellent customer service.	customer service; provide/deliver service; in/out of service; service charge
expiration date	noun	/ˌek.spəˈreɪ.ʃən deɪt/	1. ngày hết hạn (thực phẩm, thẻ, hợp đồng)	expiry date, due date	start date, issue date	expire (v): hết hạn expired (adj): đã hết hạn expiring (adj): sắp hết hạn	Please note the expiration date on your credit card.	check/verify expiration date; expiration date of/on; past the expiration date; expiration date label
approach	noun/verb	/əˈprəʊtʃ/	(n) 1. phương pháp 2. sự tiếp cận (v) 3. tiếp cận	method, strategy	departure, avoidance	approachable (adj): dễ gần approaching (adj): đang đến gần approached (vpp): đã tiếp cận	Our team adopted a new approach to marketing.	new/innovative approach; approach to; take/adopt an approach; customer-oriented approach
advise	verb	/ədˈvaɪz/	1. khuyên; tư vấn 2. thông báo chính thức	consult, recommend	discourage, misguide	advice (n): lời khuyên adviser/advisor (n): cố vấn advisory (adj): tư vấn	The consultant advised the client to reduce costs.	advise sb to do sth, advise on sth, strongly advise, advise against sth
intend	verb	/ɪnˈtend/	1. dự định 2. dành cho (for)	plan, aim	cancel, forget	intention (n): ý định intentional (adj): có chủ đích intentionally (adv): cố ý	The company intends to open a new office next year.	intend to do sth, intend for sb/sth, fully intend, originally intend
branch	noun	/bræntʃ/	1. chi nhánh 2. ngành, bộ phận	division, subsidiary	headquarters, main office	branch (v): rẽ nhánh branching (n): sự phân nhánh	The Seoul branch achieved the highest sales.	branch office, local branch, open a branch, branch manager
location	noun	/loʊˈkeɪ.ʃən/	1. vị trí, địa điểm 2. quá trình xác định vị trí	site, place	displacement, misplacement	locate (v): định vị located (adj): nằm ở relocation (n): sự di chuyển địa điểm locator (n): thiết bị định vị	The conference will be held at a central location.	convenient location, remote location, office location, location search
decide	verb	/dɪˈsaɪd/	1. quyết định 2. giải quyết	choose, determine	hesitate, waver	decision (n): quyết định decisive (adj): dứt khoát decisively (adv): một cách dứt khoát indecisive (adj): thiếu quyết đoán	The board will decide on the budget tomorrow.	decide on/upon sth, decide to do sth, quickly decide, final decision
action	noun	/ˈæk.ʃən/	1. hành động cụ thể để đạt mục tiêu 2. quá trình kiện tụng 3. cảnh hành động	act, measure, deed	inaction, idleness	act (v): hành động; active (adj): năng động; activate (v): kích hoạt; actionable (adj): có thể khởi kiện	Management will take immediate action to reduce costs.	take action; course of action; legal action; action plan
necessary	adj	/ˈnes.ə.ser.i/	1. cần thiết, thiết yếu 2. bắt buộc theo quy định	essential, required	unnecessary, optional	necessity (n): sự cần thiết; necessarily (adv): nhất thiết; necessitate (v): đòi hỏi; unnecessary (adj): không cần thiết	It is necessary to wear a badge in the building.	if necessary; deem necessary; necessary for; make it necessary
failure	noun	/ˈfeɪ.ljər/	1. sự thất bại 2. sự cố hỏng hóc (máy móc) 3. việc không thực hiện điều gì	fail, breakdown, collapse	success, accomplishment	fail (v): thất bại; failing (n/adj): thiếu sót; failed (adj): không thành; successful (adj): thành công	The project ended in failure due to poor planning.	equipment failure; business failure; failure to comply; complete failure
result	noun	/rɪˈzʌlt/	1. kết quả 2. thành quả thi cử/tính toán 3. hậu quả	outcome, consequence, effect	cause, origin	result (v): dẫn đến; resulting (adj): do đó; resultant (adj): là kết quả	The marketing campaign produced positive results.	as a result; result in; result from; test results
libraby	noun	/ˈlaɪ.brer.i/	1. thư viện 2. bộ sưu tập sách/tài liệu 3. kho dữ liệu số	archive, collection	-	librarian (n): thủ thư; library science (n): khoa học thư viện; library system (n): hệ thống thư viện	The company library is open from 9 a.m. to 6 p.m.	public library; digital library; library card; library resources
privileges	noun	/ˈprɪv.əl.ɪdʒɪz/	1. đặc quyền, ưu đãi, quyền lợi đặc biệt	benefits, advantages	restrictions, disadvantages	privilege (n/v): đặc quyền, cho đặc quyền; privileged (adj): có đặc quyền; unprivileged (adj): không có đặc quyền	Employees with five years of service receive additional privileges.	special privileges, employee privileges, access privileges, membership privileges
notice	noun/verb	/ˈnoʊ.t̬ɪs/	1. (n) thông báo, lưu ý 2. (n) thời hạn báo trước 3. (v) chú ý, nhận ra	announcement, warning; observe	ignorance, neglect	notice (v): chú ý; noticeable (adj): đáng chú ý; notification (n): sự thông báo; unnoticed (adj): không bị chú ý	We received a notice about the schedule change. Please give two weeks’ notice if you resign.	give notice, receive notice, cancellation notice, at short notice
general	adj	/ˈdʒen.ər.əl/	1. chung, tổng quát 2. phổ biến, thông thường	overall, common	specific, detailed	general (n): vị tướng/khái quát; generally (adv): nói chung; generalize (v): khái quát; generalization (n): sự khái quát	The general manager approved the budget.	general manager, in general, general information, general public
reply	verb/noun	/rɪˈplaɪ/	1. (v) trả lời, hồi đáp 2. (n) câu trả lời, phản hồi	respond, answer	ignore, question	reply (n/v): trả lời; replied (v): đã trả lời; replying (v): đang trả lời	Please reply to the email by noon.	reply to a message, quick reply, in reply, reply promptly
directly	adv	/daɪˈrekt.li/	1. trực tiếp, thẳng 2. ngay lập tức	immediately, straight	indirectly, later	direct (adj/v): trực tiếp/chỉ đạo; direction (n): phương hướng; director (n): giám đốc; directive (n): chỉ thị	You can speak directly to the supervisor.	report directly, contact directly, directly responsible, directly affected
sign up	phrasal verb	/saɪn ʌp/	đăng ký; ghi danh; đồng ý tham gia	register, enroll	withdraw, cancel	sign (v/n): ký; signup (n): sự đăng ký; signer (n): người ký	- Please sign up for the workshop by Friday.	- sign up for sth - sign up online - sign up new members
log in	phrasal verb	/lɒɡ ɪn/	đăng nhập vào hệ thống	sign in, access	log out, sign out	login (n): sự đăng nhập; logger (n): thiết bị ghi	- Employees must log in before 9 a.m.	- log in to sth - log in with sth - automatic log in
question	noun	/ˈkwes.tʃən/	1. câu hỏi 2. vấn đề cần bàn	inquiry, query	answer, solution	question (v): hỏi; questionable (adj): đáng ngờ; questionnaire (n): bảng câu hỏi	- The manager answered every question clearly.	- ask a question - raise a question - question about sth - in question
at least	adverbial phrase	/æt liːst/	1. ít nhất 2. chí ít	minimum, no less than	at most, no more than	least (adj/adv): ít nhất; lesser (adj): nhỏ hơn	- You should arrive at least 30 minutes early.	- at least + number - at least once - at least two years
opt	verb	/ɒpt/	1. chọn 2. quyết định làm gì	choose, select	reject, decline	option (n): sự lựa chọn; optional (adj): tùy chọn; opt-out (n): sự rút lui	- Many passengers opt to take the express train.	- opt for sth - opt to do sth - opt out (of) sth
specific	adjective	/spəˈsɪfɪk/	1. cụ thể, rõ ràng 2. riêng biệt, đặc thù	particular, detailed	general, vague	specificity (n): tính cụ thể specifically (adv): một cách cụ thể specify (v): chỉ rõ specification (n): thông số kỹ thuật	Please provide the specific date of delivery.	specific requirements, specific details, specific instructions, specific time
a full range	noun phrase	/ə fʊl reɪndʒ/	toàn bộ phạm vi, đầy đủ các loại	complete selection, wide array	limited range, narrow selection	range (n/v): phạm vi ranging (adj): đa dạng wide-ranging (adj): rộng khắp	The store offers a full range of office supplies.	a full range of products, a full range of services, offer a full range, provide a full range
photography service	noun phrase	/fəˈtɒɡrəfi ˈsɜːvɪs/	dịch vụ chụp ảnh	photo service, imaging service	self-photography, no service	photograph (n/v): chụp ảnh photographer (n): nhiếp ảnh gia photographic (adj): thuộc nhiếp ảnh photography (n): nhiếp ảnh	We hired a photography service for the product launch.	professional photography service, wedding photography service, hire a photography service, provide photography services
professional	adjective	/prəˈfeʃənl/	1. chuyên nghiệp 2. thuộc nghề nghiệp	expert, skilled	amateur, unprofessional	profession (n): nghề nghiệp professionalism (n): tính chuyên nghiệp professionally (adv): một cách chuyên nghiệp professionalize (v): chuyên nghiệp hoá	The company needs a professional marketing plan.	professional manner, professional experience, professional advice, highly professional
take pride	verb phrase	/teɪk praɪd/	tự hào về	be proud of, pride oneself on	be ashamed of, feel embarrassed about	pride (n): niềm tự hào proud (adj): tự hào proudly (adv): một cách tự hào prideful (adj): kiêu hãnh	We take pride in delivering orders on time.	take pride in, take great pride, take personal pride, employees take pride
compose	verb	/kəmˈpoʊz/	1. soạn, sáng tác (thư, nhạc, tài liệu) 2. bao gồm, cấu thành 3. trấn tĩnh bản thân	write, create, form	destroy, discompose	composition (n): bài sáng tác; composer (n): nhà soạn nhạc; composed (adj): điềm tĩnh; compositional (adj): thuộc về cấu tạo	She will compose the monthly sales report tomorrow.	compose an email, compose a letter, compose yourself, be composed of
interior	noun/adj	/ɪnˈtɪr.i.ər/	1. phần bên trong; nội thất 2. ở phía trong (adj)	inside, inner	exterior, outside	internal (adj): nội bộ; internally (adv): bên trong; interiorly (adv): ở phía trong	The hotel’s interior is modern and bright.	interior design, interior walls, interior lighting, interior space
exterior	noun/adj	/ɪkˈstɪr.i.ər/	1. bề ngoài; mặt ngoài 2. ở phía ngoài (adj)	outside, outer	interior, inside	external (adj): bên ngoài; externally (adv): bên ngoài; exteriorly (adv): phía ngoài	Workers are painting the building’s exterior today.	exterior wall, exterior paint, exterior surface, exterior door
property	noun	/ˈprɑː.pɚ.t̬i/	1. tài sản, bất động sản 2. đặc tính, thuộc tính	asset, estate	debt, liability	proprietor (n): chủ sở hữu; proprietary (adj): độc quyền; propertyless (adj): không có tài sản	The company plans to buy new property near the airport.	real property, private property, property value, property management
spare	adj/verb/noun	/sper/	1. (adj) dự phòng, thừa 2. (verb) dành, để dành 3. (noun) vật dự phòng	extra, reserve, save	necessary, waste	sparing (adj): tiết kiệm; sparingly (adv): một cách tiết kiệm; spareness (n): sự thưa thớt	Do you have a spare battery for the camera?	spare parts, spare time, spare cash, spare capacity
effort	noun	/ˈef.ət/	1. sự nỗ lực 2. cố gắng có tổ chức 3. kết quả của một lần cố gắng	attempt, endeavor	idleness, inertia	effortless (adj): không cần nỗ lực effortfully (adv): một cách nỗ lực effortlessness (n): sự dễ dàng	The team made a great effort to finish the report. - This campaign is a joint effort of two departments.	make an effort, joint effort, in an effort to, require effort
professional - grade	adj	/prəˈfeʃ.ən.əl ɡreɪd/	1. đạt tiêu chuẩn chuyên nghiệp 2. dành cho mục đích thương mại	commercial-grade, industrial-grade	consumer-grade, amateur	professional (n): chuyên gia profession (n): nghề nghiệp professionalism (n): tính chuyên nghiệp professionally (adv): một cách chuyên nghiệp	We use professional-grade printers in the design studio. - Professional-grade materials last longer.	professional-grade equipment, professional-grade software, professional-grade tools, professional-grade materials
equipment	noun	/ɪˈkwɪp.mənt/	1. trang thiết bị 2. dụng cụ cần cho một mục đích	apparatus, gear	disassembly, removal	equip (v): trang bị equipped (adj): được trang bị equipping (n): sự trang bị	The new office equipment arrived yesterday. - Please check the equipment before use.	office equipment, safety equipment, install equipment, rent equipment
lighting	noun	/ˈlaɪ.tɪŋ/	1. hệ thống chiếu sáng 2. sự sắp đặt ánh sáng tại địa điểm	illumination, light system	darkness, gloom	light (n/v): ánh sáng, chiếu sáng lighten (v): làm sáng lit (adj): được chiếu sáng	The conference room needs better lighting. - LED lighting reduces energy costs.	natural lighting, install lighting, lighting system, lighting design
staging technique	noun	/ˈsteɪ.dʒɪŋ tekˈniːk/	1. kỹ thuật dàn dựng sân khấu 2. phương pháp bố trí trưng bày sản phẩm	presentation method, display technique	improvisation, disorder	stage (v/n): dàn dựng, sân khấu staged (adj): được dàn dựng staging (n): sự dàn dựng technician (n): kỹ thuật viên	Their staging technique made the product demo more engaging. - Good staging techniques can increase sales at trade shows.	effective staging technique, use staging techniques, staging technique for an event, improve staging technique
allow	verb	/əˈlaʊ/	1. cho phép 2. dành/để ra (thời gian, tiền)	permit, authorize	forbid, prohibit	allowance (n): tiền trợ cấp; allowed (adj): được phép; allowable (adj): có thể cho phép	The manager allows staff to work from home.	allow sb to do sth, be allowed to, allow time for sth, allow entry
highlight	verb	/ˈhaɪ.laɪt/	1. làm nổi bật 2. nêu bật	underline, emphasize	ignore, downplay	highlight (n): điểm nhấn; highlighter (n): bút đánh dấu; highlighting (n): sự nhấn mạnh	The report highlights the need for better training.	highlight key points, highlight issues, highlight differences, the highlight of
feature	noun, verb	/ˈfiː.tʃər/	1. (n) đặc điểm, tính năng 2. (v) có, bao gồm	attribute, characteristic; include, present	drawback, omit	featured (adj): được giới thiệu; featuring (prep): có; featureless (adj): không đặc điểm	The new phone's key feature is its long battery life.	new feature, key feature, special feature, feature article
photo shoot	noun	/ˈfəʊ.təʊ ʃuːt/	buổi chụp ảnh (chuyên nghiệp)	photography session, photo session	—	photograph (n/v): ảnh/chụp; photographer (n): nhiếp ảnh gia; photography (n): nhiếp ảnh	The magazine arranged a photo shoot with the singer yesterday.	schedule a photo shoot, hold a photo shoot, fashion photo shoot, outdoor photo shoot
edit	verb	/ˈedɪt/	1. chỉnh sửa 2. biên tập	revise, correct	publish, keep	editing (n): việc biên tập; editor (n): biên tập viên; edition (n): phiên bản; editable (adj): có thể chỉnh sửa	Please edit the document before the meeting.	edit a document, edit video, edit file, edit content
package	noun, verb	/ˈpæk.ɪdʒ/	1. gói hàng, bưu kiện (n) 2. đóng gói (v) 3. bộ dịch vụ trọn gói	parcel, bundle, packet	unpack, open, scatter	pack (v): đóng gói; packaging (n): bao bì; unpack (v): mở gói; packaged (adj): được đóng gói	We will ship your package within 24 hours.	ship/send a package, receive a package, package design, package tour
introduce	verb	/ˌɪn.trəˈduːs/	1. giới thiệu (ai/cái gì) 2. ra mắt, đưa vào sử dụng 3. giới thiệu bản thân	present, launch, unveil	withdraw, eliminate, remove	introduction (n): sự giới thiệu; introductory (adj): mở đầu; introducer (n): người giới thiệu; reintroduce (v): tái giới thiệu	The manager will introduce the new policy at the meeting.	introduce a product, introduce a policy, introduce someone to, allow me to introduce
stand out	phrasal verb	/stænd aʊt/	1. nổi bật 2. dễ nhận thấy 3. khác biệt (theo hướng tốt)	be noticeable, distinguish oneself, shine	blend in, fade, disappear	standout (n): người/vật nổi bật; outstanding (adj): xuất sắc; outstand (v): nổi trội	Her skills make her stand out from other applicants.	stand out from, stand out in, standout feature, make something stand out
first	adjective, adverb	/fɜːrst/	1. đầu tiên 2. quan trọng nhất 3. lần đầu	initial, primary, earliest	last, final, ultimate	firstly (adv): trước hết; first-class (adj): hạng nhất; firsthand (adj): trực tiếp; firstness (n): tính đầu tiên	Customer safety comes first.	first time, first step, first priority, come first
research	noun, verb	/rɪˈsɜːrtʃ/	1. (n) nghiên cứu 2. (v) nghiên cứu 3. khảo sát thông tin	study, investigation, inquiry	guess, assumption, speculation	researcher (n): nhà nghiên cứu; researched (adj): được nghiên cứu; researching (n): việc nghiên cứu; researchable (adj): có thể nghiên cứu	We conducted market research before launching the product.	conduct research, market research, research findings, research project
purchase	noun/verb	/ˈpɜː.tʃəs/	1. (n) sự mua hàng 2. (n) món hàng được mua 3. (v) mua	buy, acquire	sell, dispose of	purchaser (n): người mua purchasing (n): việc mua hàng repurchase (v): mua lại purchasable (adj): có thể mua được	The company will purchase new laptops next week.	purchase order; make a purchase; purchase price; purchase agreement
display	noun/verb	/dɪˈspleɪ/	1. (n) sự trưng bày 2. (v) trưng bày 3. (v) hiển thị	exhibit, show	hide, conceal	displayed (adj): được trưng bày displayer (n): thiết bị hiển thị	The new products are on display near the cashier.	window display; display case; display screen; put on display
if any	phrase	/ɪf ˈeni/	dù có hay không; nếu có (nhấn mạnh lượng nhỏ)	if at all, negligible	many, plenty	-	There were few, if any, errors in the report.	few if any; little if any; changes if any; differences if any
by comparison	phrase	/baɪ kəmˈpær.ɪ.sən/	khi so sánh, so với	in comparison, comparatively	individually, separately	compare (v): so sánh comparison (n): sự so sánh comparable (adj): tương đương comparatively (adv): tương đối	By comparison with 2022, revenue increased 15%.	by comparison with; look small by comparison; costs by comparison; numbers by comparison
otherwise	adverb/conjunction	/ˈʌð.ər.waɪz/	1. nếu không thì 2. ngoài ra 3. theo cách khác	or else, alternatively	likewise, similarly	other (adj): khác otherness (n): tính khác biệt	Please sign here; otherwise, your order cannot be processed.	unless otherwise stated; otherwise specified; prove otherwise; do otherwise
indeed	adv	/ɪnˈdiːd/	1. thật vậy, thực sự (dùng nhấn mạnh) 2. quả thật (xác nhận)	actually, truly, really	hardly, barely, not really	indeed (adv): thật vậy	The results are indeed impressive.	yes indeed, indeed impressive, indeed necessary
